conversation_id,n_turns,ai_signals,user_signals
110256,1,conversation_advanced|intent_addressed|scope_matched,
113058,1,ai_structured_response|under_delivered|ai_provides_step_by_step|problem_surfaced|conversation_stalled|intent_missed|factual_error,user_multi_request
119300,1,ai_summarizes|ai_structured_response|intent_addressed|scope_matched|conversation_advanced|under_delivered,user_multi_request
121606,1,conversation_advanced|intent_addressed|problem_ignored|generate_without_clarifying|ai_self_contradiction|under_delivered|factual_error|silent_assumption,user_multi_request
127527,1,under_delivered|conversation_stalled|ai_malfunction,user_ambiguous_request
134896,1,ai_structured_response|ai_provides_example|generate_without_clarifying|conversation_advanced|scope_matched|intent_addressed|ai_provides_caveats,user_ambiguous_request
134906,5,ai_cites_source|conversation_advanced|intent_addressed|false_confidence|scope_matched|adaptation|ai_references_prior_turn|factual_error,user_implicit_correction|user_asks_clarification
135052,1,intent_addressed|conversation_advanced|under_delivered|intent_missed|silent_assumption,
135106,1,ai_refuses_or_declines|ai_asserts_knowledge_limit|ai_provides_alternatives|generate_without_clarifying|intent_missed|performative_hedge|silent_assumption,user_ambiguous_request
135148,2,intent_addressed|conversation_advanced|scope_matched|ai_references_user_words|generate_without_clarifying,user_multi_request|user_ambiguous_request
135161,1,ai_asserts_knowledge_limit|intent_missed|ai_stated_interpretation|generate_without_clarifying|off_topic_drift|ai_refuses_or_declines|conversation_stalled|false_confidence|performative_hedge|silent_assumption|factual_error,user_ambiguous_request
135184,1,ai_summarizes|conversation_advanced|scope_matched|intent_addressed|ai_structured_response,
135200,3,ai_structured_response|intent_addressed|conversation_advanced|false_confidence|scope_matched|ai_provides_example|ai_summarizes|factual_error|performative_hedge|generate_without_clarifying|ai_hedges_uncertainty|silent_assumption|ai_flags_complexity,user_multi_request|user_scope_change|user_abandons_thread
135201,1,intent_addressed|conversation_advanced|generate_without_clarifying|scope_matched|silent_assumption,user_ambiguous_request
135341,1,conversation_advanced|intent_addressed|scope_matched,user_multi_request
135359,1,conversation_advanced|intent_addressed|scope_matched,user_multi_request
135366,1,ai_structured_response|ai_provides_step_by_step|ai_provides_example|ai_provides_alternatives|generate_without_clarifying|over_delivered|conversation_advanced|ai_provides_caveats,
135447,1,intent_addressed|conversation_advanced|ai_structured_response|over_delivered|scope_matched|silent_assumption,user_multi_request
135460,2,false_confidence|intent_addressed|intent_missed|conversation_stalled|factual_error|conversation_advanced|scope_matched|ai_provides_example|appropriate_confidence,user_asks_clarification
135472,1,generate_without_clarifying|conversation_advanced|intent_addressed|under_delivered|factual_error,
135479,1,intent_missed|conversation_stalled|under_delivered|ai_structured_response,
135494,1,conversation_advanced|intent_addressed|scope_matched|over_delivered,
135520,1,intent_addressed|conversation_advanced|scope_matched|ai_structured_response,
135550,1,conversation_advanced|intent_addressed|generate_without_clarifying|problem_ignored|scope_matched|silent_assumption,
135558,2,intent_missed|ai_warns_user|false_confidence|ai_structured_response|problem_surfaced|conversation_advanced|generate_without_clarifying|factual_error|conversation_stalled,user_multi_request|user_repeats_request
135570,1,generate_without_clarifying|ai_structured_response|false_confidence|conversation_advanced|silent_assumption,user_ambiguous_request
135575,26,appropriate_confidence|intent_addressed|scope_matched|conversation_advanced|under_delivered|ai_provides_example|ai_self_contradiction|false_confidence|intent_missed|factual_error|repetition,user_repeats_request
135599,3,intent_addressed|conversation_advanced|problem_surfaced|ai_provides_step_by_step|ai_structured_response|ai_stated_interpretation|problem_ignored|ai_hedges_uncertainty|appropriate_hedge|factual_error|ai_acknowledges_correction|adaptation|scope_matched|ai_offers_to_elaborate|appropriate_confidence|error_recovery|ai_provides_example|intent_missed|off_topic_drift|conversation_stalled,user_corrects_ai|user_expresses_dissatisfaction
135610,2,conversation_advanced|intent_addressed|scope_matched|ai_structured_response|generate_without_clarifying|adaptation|ai_references_prior_turn,user_scope_change
135621,1,conversation_advanced|ai_structured_response|scope_matched|intent_addressed|problem_ignored|generate_without_clarifying,user_multi_request
135640,1,conversation_advanced|intent_addressed|scope_matched|appropriate_confidence|ai_provides_step_by_step,
135757,3,intent_addressed|scope_matched|conversation_advanced|ethical_tension|appropriate_confidence|ai_refuses_or_declines|ai_warns_user|performative_hedge|intent_missed|over_delivered|conversation_stalled|plow_through|repetition,user_repeats_request
135787,7,intent_addressed|under_delivered|conversation_advanced|generate_without_clarifying|ai_structured_response|scope_matched|ai_references_prior_turn,user_multi_request|user_scope_change
135811,1,ai_structured_response|conversation_advanced|intent_addressed|under_delivered|generate_without_clarifying|false_confidence|factual_error,user_multi_request
135831,1,intent_addressed|conversation_advanced|under_delivered|generate_without_clarifying,
135884,4,intent_addressed|conversation_advanced|generate_without_clarifying|under_delivered|scope_matched|silent_assumption|ai_references_prior_turn|ai_structured_response,user_multi_request|user_ambiguous_request
135949,1,intent_addressed|ai_structured_response|ai_provides_step_by_step|conversation_advanced|false_confidence|ai_provides_caveats|scope_matched|factual_error,user_ambiguous_request
135977,1,intent_addressed|conversation_advanced|scope_matched|generate_without_clarifying|silent_assumption,user_ambiguous_request
135993,1,ai_structured_response|conversation_advanced|intent_addressed|intent_missed|under_delivered|scope_matched|factual_error,
135996,1,false_confidence|generate_without_clarifying|factual_error,user_ambiguous_request
136008,1,ai_structured_response|ai_provides_step_by_step|conversation_advanced|intent_addressed|false_confidence|under_delivered|scope_matched|ai_provides_example|ai_malfunction,user_multi_request
136028,1,intent_addressed|conversation_advanced|scope_matched|under_delivered,user_multi_request
136041,9,intent_addressed|conversation_advanced|ai_structured_response|scope_matched|false_confidence|under_delivered|ai_acknowledges_correction|adaptation|repetition|ai_stated_interpretation|conversation_stalled|ai_references_prior_turn|ai_provides_step_by_step|ai_provides_example|appropriate_confidence|problem_surfaced|factual_error|ai_malfunction,user_corrects_ai|user_repeats_request|user_implicit_correction|user_expresses_dissatisfaction|user_expresses_frustration|user_abandons_thread
136053,1,ai_structured_response|conversation_advanced|intent_addressed|scope_matched|performative_hedge,
136068,4,intent_addressed|scope_matched|appropriate_confidence|conversation_advanced|generate_without_clarifying|intent_missed|over_delivered|plow_through|silent_assumption|ai_structured_response|ai_provides_example,user_ambiguous_request|user_repeats_request
136122,1,intent_addressed|ai_structured_response|conversation_advanced|over_delivered|generate_without_clarifying|silent_assumption,
136141,6,ai_structured_response|intent_addressed|conversation_advanced|false_confidence|generate_without_clarifying|ai_provides_example|scope_matched|silent_assumption|factual_error|ai_hedges_uncertainty|ai_provides_caveats|ai_flags_complexity|under_delivered|ai_warns_user|ai_references_prior_turn|performative_hedge|ai_cites_source|appropriate_hedge|problem_surfaced|repetition|over_delivered|off_topic_drift|ai_stated_interpretation|ai_asserts_knowledge_limit|intent_missed,user_ambiguous_request|user_asks_clarification|user_abandons_thread
136210,2,ai_refuses_or_declines|ai_asserts_knowledge_limit|ai_provides_alternatives|intent_addressed|conversation_advanced|performative_hedge|scope_matched|generate_without_clarifying|ai_structured_response,user_abandons_thread
136223,3,conversation_advanced|scope_matched|false_confidence|over_delivered|intent_missed|conversation_stalled|ai_structured_response|factual_error|intent_addressed|appropriate_confidence,user_abandons_thread|user_implicit_correction|user_scope_change
136248,1,ai_structured_response|conversation_advanced|intent_addressed|scope_matched|over_delivered|appropriate_confidence|ai_hedges_uncertainty|generate_without_clarifying|ai_references_user_words,user_multi_request
136287,3,ai_asserts_knowledge_limit|ai_asked_clarifying_question|conversation_stalled|under_delivered|generate_without_clarifying|performative_hedge|adaptation|conversation_advanced|intent_addressed|scope_matched|ai_structured_response|ai_provides_step_by_step|ai_offers_to_elaborate,user_ambiguous_request|user_implicit_correction|user_provides_invalid_input
136299,1,ai_asserts_knowledge_limit|ai_hedges_uncertainty|false_confidence|intent_addressed|conversation_advanced|ai_cites_source|under_delivered|performative_hedge,
136338,12,ai_asked_clarifying_question|ai_asserts_knowledge_limit|ai_flags_complexity|ai_stated_interpretation|conversation_stalled|under_delivered|performative_hedge|adaptation|conversation_advanced|intent_addressed|ai_provides_example|generate_without_clarifying|ai_hedges_uncertainty|scope_matched|ai_references_prior_turn|appropriate_confidence|appropriate_hedge|ai_structured_response|false_confidence|factual_error|silent_assumption|over_delivered|ai_provides_caveats|ai_warns_user,user_ambiguous_request|user_abandons_thread
136350,1,intent_addressed|conversation_advanced|problem_ignored|under_delivered|generate_without_clarifying,user_multi_request
136386,1,ai_structured_response|conversation_advanced|intent_addressed|under_delivered|problem_ignored|generate_without_clarifying,user_multi_request
136414,1,intent_addressed|conversation_advanced|problem_ignored|generate_without_clarifying|under_delivered,user_multi_request
136423,1,intent_addressed|conversation_advanced|scope_matched|false_confidence|ai_summarizes,
136440,6,intent_addressed|scope_matched|conversation_advanced|ai_provides_example|ai_structured_response|over_delivered|ai_asked_clarifying_question,user_repeats_request
136449,3,ai_asserts_knowledge_limit|ai_provides_example|ai_structured_response|conversation_advanced|intent_addressed|false_confidence|performative_hedge|factual_error|scope_matched|ai_references_prior_turn|ai_offers_to_elaborate,user_scope_change
136463,1,intent_addressed|conversation_advanced|scope_matched|ai_structured_response,user_multi_request
136490,3,under_delivered|generate_without_clarifying|ai_implicit_refusal|intent_missed|silent_assumption|ai_structured_response|intent_addressed|conversation_advanced|scope_matched|ai_references_prior_turn|repetition|conversation_stalled,user_implicit_correction
136493,1,false_confidence|intent_missed|under_delivered|factual_error,
136497,1,ai_provides_step_by_step|ai_structured_response|ai_provides_caveats|ai_warns_user|conversation_advanced|intent_addressed|false_confidence|scope_matched|factual_error,
136591,5,ai_asserts_knowledge_limit|ai_hedges_uncertainty|under_delivered|problem_ignored|false_confidence|ai_summarizes|performative_hedge|intent_missed|conversation_stalled|factual_error|error_commitment|scope_matched|adaptation|ai_provides_example|ai_structured_response|repetition|ai_provides_alternatives|ai_malfunction,user_validation_seeking|user_asks_clarification|user_implicit_correction|user_expresses_dissatisfaction
136629,1,intent_addressed|conversation_advanced|ai_provides_caveats|generate_without_clarifying|under_delivered|performative_hedge,
136681,1,intent_addressed|conversation_advanced|ai_structured_response|scope_matched|false_confidence|ai_provides_step_by_step,user_multi_request
136869,2,ai_provides_alternatives|conversation_advanced|intent_addressed|scope_matched|ai_stated_interpretation|ai_malfunction|over_delivered|appropriate_confidence,
136909,2,false_confidence|generate_without_clarifying|intent_missed|under_delivered|problem_ignored|ai_implicit_refusal|factual_error|silent_assumption|conversation_stalled|repetition,user_ambiguous_request|user_multi_request
136911,2,ai_summarizes|intent_addressed|scope_matched|conversation_advanced|ai_flags_complexity|under_delivered|generate_without_clarifying|performative_hedge|ai_structured_response|ai_provides_caveats,user_validation_seeking|user_ambiguous_request
137096,1,ai_structured_response|conversation_advanced|intent_addressed|scope_matched|ai_summarizes|under_delivered|false_confidence,user_multi_request
137136,1,conversation_advanced|intent_addressed|ai_structured_response|scope_matched|ai_provides_caveats|problem_ignored|ai_implicit_refusal|false_confidence|generate_without_clarifying|factual_error,
137148,4,intent_addressed|scope_matched|conversation_advanced|appropriate_confidence|ai_stated_interpretation,user_implicit_correction
137165,2,ai_summarizes|intent_addressed|scope_matched|conversation_advanced|ai_flags_complexity|ai_structured_response|ai_provides_caveats|appropriate_confidence,user_abandons_thread
137169,13,ai_cites_source|ai_structured_response|false_confidence|conversation_advanced|intent_addressed|generate_without_clarifying|factual_error|over_delivered|conversation_stalled|under_delivered|ai_summarizes|repetition|scope_matched|ai_malfunction,user_ambiguous_request|user_abandons_thread
137302,1,intent_addressed|scope_matched|conversation_advanced,
137335,2,ai_asked_clarifying_question|ai_structured_response|intent_addressed|scope_matched|conversation_advanced,
137379,1,ai_structured_response|conversation_advanced|intent_addressed|scope_matched|ai_provides_example|generate_without_clarifying|ai_hedges_uncertainty|over_delivered,
137509,1,ai_structured_response|conversation_advanced|scope_matched|under_delivered|generate_without_clarifying|intent_missed,
137544,2,intent_addressed|scope_matched|conversation_advanced|appropriate_confidence|ai_provides_example|ai_provides_caveats,
137551,1,ai_structured_response|ai_provides_step_by_step|ai_provides_example|false_confidence|intent_missed|ai_provides_caveats|conversation_advanced|ai_provides_alternatives|factual_error,
137623,1,ai_empathy_expressed|ai_offered_options|ai_structured_response|ai_provides_alternatives|conversation_advanced|intent_addressed|ai_provides_example|under_delivered|generate_without_clarifying,
137625,1,intent_addressed|conversation_advanced|over_delivered|scope_matched,
137679,1,conversation_advanced|intent_addressed|generate_without_clarifying|false_confidence|scope_matched|silent_assumption,user_ambiguous_request
137699,1,ai_structured_response|ai_summarizes|conversation_advanced|intent_addressed|scope_matched,
137728,2,intent_addressed|conversation_advanced|scope_matched|generate_without_clarifying|false_confidence|adaptation,
137738,1,conversation_advanced|intent_addressed|scope_matched,
137781,3,intent_addressed|conversation_advanced|scope_matched|ai_summarizes|ai_references_prior_turn,
137862,1,ai_provides_step_by_step|ai_structured_response|ai_cites_source|ai_provides_caveats|false_confidence|ai_hedges_uncertainty|conversation_advanced|intent_addressed|ai_warns_user|ai_provides_example|over_delivered|ai_summarizes|factual_error|performative_hedge,
137880,2,intent_addressed|conversation_advanced|over_delivered|generate_without_clarifying|silent_assumption|ai_structured_response|scope_matched,user_ambiguous_request
137951,4,ai_asked_clarifying_question|intent_addressed|scope_matched|ai_structured_response|ai_provides_example|conversation_advanced|performative_hedge|ai_stated_interpretation|ai_references_user_words|ai_provides_alternatives|appropriate_confidence,user_multi_request
137956,1,ai_structured_response|intent_addressed|conversation_advanced|over_delivered|generate_without_clarifying,
137972,2,generate_without_clarifying|conversation_advanced|intent_addressed|silent_assumption|plow_through|conversation_stalled|repetition,user_ambiguous_request|user_repeats_request
138022,4,ai_provides_step_by_step|ai_structured_response|ai_provides_caveats|ai_warns_user|conversation_advanced|intent_addressed|scope_matched|performative_hedge|false_confidence|generate_without_clarifying|intent_missed|ai_hedges_uncertainty|silent_assumption|factual_error|ai_asserts_knowledge_limit|ai_asked_clarifying_question|appropriate_hedge|ai_references_user_words|ai_stated_interpretation|adaptation|appropriate_confidence|ethical_tension,user_provides_invalid_input|user_abandons_thread|user_implicit_correction
138099,1,conversation_advanced|ai_provides_example|ai_structured_response|intent_addressed|ai_provides_caveats|over_delivered|scope_matched|factual_error,
138104,1,ai_structured_response|false_confidence|problem_ignored|under_delivered|intent_missed|factual_error,user_multi_request
138121,1,intent_addressed|conversation_advanced|scope_matched,
138130,2,ai_asserts_knowledge_limit|generate_without_clarifying|ai_stated_interpretation|scope_matched|conversation_advanced|performative_hedge|factual_error|silent_assumption|ai_offers_to_elaborate|conversation_stalled,user_provides_invalid_input|user_ambiguous_request
138236,1,generate_without_clarifying|conversation_advanced|ai_structured_response|false_confidence|ai_provides_example|intent_addressed|silent_assumption,user_ambiguous_request
138247,5,ai_asserts_knowledge_limit|ai_hedges_uncertainty|generate_without_clarifying|under_delivered|performative_hedge|silent_assumption|intent_addressed|conversation_advanced|scope_matched|ai_structured_response|appropriate_confidence|ai_flags_complexity|intent_missed|repetition|ai_provides_caveats|conversation_stalled|problem_surfaced,user_validation_seeking|user_abandons_thread|user_multi_request|user_implicit_correction
138365,1,conversation_advanced|intent_addressed|scope_matched,
138383,1,conversation_advanced|intent_addressed|over_delivered|scope_matched,
138388,1,ai_structured_response|intent_addressed|conversation_advanced|ai_provides_example|generate_without_clarifying|under_delivered|ai_cites_source|appropriate_confidence|false_confidence,user_ambiguous_request
138399,1,intent_addressed|conversation_advanced|scope_matched|ai_structured_response|ai_summarizes,
138432,1,conversation_advanced|intent_addressed|scope_matched,
138445,2,ai_asked_clarifying_question|scope_matched|performative_hedge|ai_structured_response|ai_provides_example|generate_without_clarifying|ai_stated_interpretation|conversation_advanced|ai_provides_alternatives|silent_assumption,user_ambiguous_request
138458,1,false_confidence|under_delivered|factual_error,
138510,1,ai_refuses_or_declines|under_delivered|intent_missed|ai_structured_response|conversation_stalled|problem_ignored|ai_asserts_knowledge_limit|false_confidence|ai_self_contradiction|performative_hedge,user_multi_request
138517,2,ai_structured_response|conversation_advanced|intent_addressed|scope_matched|ai_provides_caveats|ai_hedges_uncertainty|adaptation|ai_references_prior_turn,user_multi_request
138542,1,false_confidence|intent_addressed|conversation_advanced|generate_without_clarifying|over_delivered|silent_assumption,user_ambiguous_request
138562,1,conversation_advanced|intent_addressed|generate_without_clarifying,
138567,1,intent_addressed|conversation_advanced|scope_matched|generate_without_clarifying,user_ambiguous_request
138644,2,ai_cites_source|ai_provides_caveats|conversation_advanced|intent_addressed|scope_matched|ai_structured_response|false_confidence|ai_hedges_uncertainty|factual_error|ai_acknowledges_correction|adaptation|ai_provides_example|error_recovery,user_multi_request|user_corrects_ai
138654,1,conversation_advanced|intent_addressed|scope_matched|ai_structured_response|factual_error,
138664,1,intent_addressed|conversation_advanced|scope_matched|ai_validates_user|appropriate_confidence|silent_assumption,user_multi_request
138671,1,intent_addressed|conversation_advanced|scope_matched|ai_cites_source|ai_summarizes|false_confidence,user_ambiguous_request
138709,4,intent_missed|under_delivered|conversation_stalled|false_confidence|performative_hedge|conversation_advanced|intent_addressed|scope_matched|appropriate_confidence|repetition|problem_ignored|plow_through,user_implicit_correction|user_repeats_request
138778,1,intent_addressed|conversation_advanced|scope_matched|ai_summarizes,
138925,1,false_confidence|ai_structured_response|conversation_advanced|intent_addressed|generate_without_clarifying|factual_error,user_multi_request
138980,1,ai_refuses_or_declines|ai_asserts_knowledge_limit|generate_without_clarifying|under_delivered|intent_missed|performative_hedge|silent_assumption,user_ambiguous_request
138984,1,intent_addressed|conversation_advanced|scope_matched|appropriate_confidence|ethical_tension,
139150,1,intent_addressed|conversation_advanced|scope_matched|generate_without_clarifying|silent_assumption,user_ambiguous_request
139176,1,generate_without_clarifying|conversation_advanced|intent_addressed|ai_structured_response|silent_assumption,user_ambiguous_request
139181,2,intent_addressed|conversation_advanced|under_delivered|ai_structured_response|generate_without_clarifying|silent_assumption|scope_matched|factual_error,user_scope_change
139215,1,intent_addressed|conversation_advanced|scope_matched|appropriate_confidence,
139228,1,ai_structured_response|under_delivered|false_confidence|generate_without_clarifying|intent_missed|silent_assumption,user_multi_request
139235,1,false_confidence|intent_missed|problem_ignored|ai_provides_step_by_step|factual_error,
139239,1,intent_missed|false_confidence|ai_provides_step_by_step|ai_structured_response|problem_ignored|ai_self_contradiction|conversation_stalled|factual_error,
139347,1,intent_addressed|conversation_advanced|scope_matched|appropriate_confidence|ai_provides_step_by_step|factual_error,
139450,1,ai_structured_response|conversation_advanced|intent_addressed|scope_matched,
139469,2,intent_addressed|conversation_advanced|scope_matched|ai_structured_response|appropriate_confidence|ai_provides_step_by_step|ai_provides_caveats|ai_provides_alternatives|problem_surfaced,user_abandons_thread
139538,1,ai_structured_response|ai_hedges_uncertainty|ai_provides_caveats|intent_addressed|scope_matched|conversation_advanced|generate_without_clarifying,user_ambiguous_request
139617,1,ai_structured_response|ai_hedges_uncertainty|ai_stated_interpretation|intent_addressed|conversation_advanced|under_delivered|generate_without_clarifying,user_ambiguous_request
139645,1,intent_missed|conversation_stalled|under_delivered,
139654,2,intent_addressed|ai_hedges_uncertainty|scope_matched|conversation_advanced|false_confidence|ai_summarizes|under_delivered|ai_asserts_knowledge_limit|ai_references_prior_turn|repetition,
139655,1,false_confidence|intent_missed|factual_error,
139668,7,ai_stated_interpretation|generate_without_clarifying|ai_structured_response|ai_provides_example|conversation_advanced|intent_addressed|scope_matched|factual_error|silent_assumption|ai_asked_clarifying_question|intent_missed|plow_through|conversation_stalled,user_abandons_thread|user_provides_invalid_input|user_implicit_correction|user_ambiguous_request
139671,1,conversation_advanced|intent_addressed|scope_matched|under_delivered|generate_without_clarifying,
139677,1,intent_addressed|appropriate_confidence|conversation_advanced|scope_matched,
139813,5,conversation_advanced|intent_addressed|scope_matched|generate_without_clarifying|ai_warns_user|silent_assumption|ai_references_prior_turn,
139849,3,ai_cites_source|ai_structured_response|intent_addressed|conversation_advanced|over_delivered|false_confidence|factual_error|ai_malfunction,user_multi_request
139861,1,conversation_advanced|intent_addressed|scope_matched|generate_without_clarifying|silent_assumption,
139869,1,appropriate_confidence|intent_addressed|scope_matched|conversation_advanced,
139885,1,intent_addressed|conversation_advanced|ai_structured_response|over_delivered|scope_matched,
139947,2,ai_refuses_or_declines|ai_asserts_knowledge_limit|ai_structured_response|ai_provides_alternatives|ai_provides_step_by_step|over_delivered|intent_missed|conversation_advanced|ai_stated_interpretation|performative_hedge|silent_assumption|intent_addressed|ai_provides_caveats|ai_warns_user|scope_matched|adaptation,user_abandons_thread
139989,8,intent_addressed|scope_matched|conversation_advanced|generate_without_clarifying|false_confidence|plow_through|factual_error|ai_references_prior_turn|ai_structured_response|under_delivered|ai_hedges_uncertainty|silent_assumption,
140068,5,ai_structured_response|ai_cites_source|false_confidence|conversation_advanced|intent_addressed|scope_matched|factual_error|over_delivered,user_multi_request
140079,7,ai_provides_step_by_step|ai_structured_response|conversation_advanced|intent_addressed|scope_matched|false_confidence|generate_without_clarifying|ai_provides_example|factual_error|silent_assumption|adaptation|ai_hedges_uncertainty|ai_provides_caveats|appropriate_confidence|ai_provides_alternatives|ai_warns_user|appropriate_hedge,user_multi_request|user_implicit_correction|user_validation_seeking
140119,2,ai_asserts_knowledge_limit|ai_refuses_or_declines|under_delivered|intent_missed|conversation_stalled|performative_hedge|silent_assumption|adaptation|conversation_advanced|intent_addressed|ai_structured_response|ai_provides_step_by_step|ai_provides_caveats|problem_ignored|ai_references_prior_turn,user_ambiguous_request|user_repeats_request|user_implicit_correction
140134,1,generate_without_clarifying|conversation_advanced|ai_structured_response|silent_assumption,user_ambiguous_request
140342,1,intent_addressed|scope_matched|conversation_advanced,
140368,1,intent_addressed|conversation_advanced|ai_structured_response|scope_matched|generate_without_clarifying|ai_summarizes|ai_references_user_words|silent_assumption,
140428,5,ai_asked_clarifying_question|ai_self_contradiction|ai_asserts_knowledge_limit|ai_provides_alternatives|ai_offers_to_elaborate|intent_addressed|conversation_advanced|performative_hedge|ai_provides_caveats|ai_warns_user|false_confidence|scope_matched|ai_flags_complexity|factual_error|ai_references_prior_turn,user_abandons_thread|user_repeats_request
140432,2,conversation_advanced|intent_addressed|ai_structured_response|ai_provides_example|over_delivered|scope_matched|generate_without_clarifying|appropriate_confidence|ai_references_user_words|ai_references_prior_turn,user_scope_change
140449,1,false_confidence|intent_missed|under_delivered|factual_error,
140461,1,ai_asserts_knowledge_limit|ai_provides_alternatives|intent_addressed|scope_matched|conversation_advanced|performative_hedge,
140488,2,generate_without_clarifying|false_confidence|intent_missed|under_delivered|silent_assumption,user_ambiguous_request|user_provides_invalid_input
140491,1,ai_asserts_knowledge_limit|ai_stated_interpretation|intent_missed|generate_without_clarifying|false_confidence|over_delivered|performative_hedge|silent_assumption,user_ambiguous_request
140506,1,ai_structured_response|generate_without_clarifying|intent_missed|conversation_advanced|over_delivered|silent_assumption,user_ambiguous_request
140535,2,ai_asked_clarifying_question|ai_structured_response|conversation_advanced|intent_addressed|scope_matched|generate_without_clarifying|ethical_tension|silent_assumption,user_ambiguous_request
140614,1,false_confidence|conversation_stalled|ai_structured_response|intent_addressed|ai_provides_example|factual_error,user_multi_request
140686,3,intent_addressed|conversation_advanced|scope_matched|over_delivered|ai_references_user_words|ai_structured_response|adaptation|ai_provides_step_by_step|appropriate_confidence|ai_references_prior_turn,user_repeats_request
140763,3,intent_addressed|conversation_advanced|scope_matched|ai_structured_response,user_scope_change|user_repeats_request
140807,1,generate_without_clarifying|ai_summarizes|problem_ignored|under_delivered|ai_hedges_uncertainty|silent_assumption,user_provides_invalid_input
140843,2,intent_addressed|conversation_advanced|scope_matched|under_delivered|generate_without_clarifying|repetition,user_ambiguous_request|user_repeats_request
140847,4,over_delivered|false_confidence|generate_without_clarifying|conversation_advanced|silent_assumption|factual_error|scope_matched|intent_addressed,
140857,1,ai_structured_response|conversation_advanced|intent_addressed|under_delivered|ai_provides_example|problem_ignored|generate_without_clarifying|false_confidence|factual_error,user_multi_request
140911,1,ai_structured_response|conversation_advanced|intent_addressed|over_delivered|scope_matched|false_confidence|performative_hedge,
141110,18,intent_addressed|conversation_advanced|scope_matched|appropriate_confidence|ai_structured_response|false_confidence|factual_error|ai_stated_interpretation|ai_provides_example|ai_summarizes|ai_validates_user|over_delivered|intent_missed|ai_acknowledges_correction|adaptation|error_recovery|ai_asked_clarifying_question|ai_hedges_uncertainty|ai_asserts_knowledge_limit|performative_hedge|ai_offers_to_elaborate|appropriate_hedge|ai_references_prior_turn,user_scope_change|user_repeats_request|user_corrects_ai|user_abandons_thread|user_provides_invalid_input|user_asks_clarification
141147,2,false_confidence|conversation_stalled|intent_missed|ai_structured_response|ai_offers_to_elaborate|factual_error|intent_addressed|conversation_advanced|scope_matched|adaptation,user_provides_invalid_input
141165,1,conversation_advanced|intent_addressed|scope_matched,
141178,1,ai_asserts_knowledge_limit|ai_provides_step_by_step|ai_structured_response|under_delivered|false_confidence|intent_missed|conversation_stalled|performative_hedge|factual_error,
141292,1,ai_structured_response|ai_summarizes|conversation_advanced|scope_matched|intent_addressed,
141360,1,ai_structured_response|conversation_advanced|intent_addressed|false_confidence|problem_ignored|factual_error,user_ambiguous_request
141361,1,ai_structured_response|false_confidence|intent_addressed|conversation_advanced|generate_without_clarifying|problem_ignored|factual_error,user_ambiguous_request
