signal,c_index,block_idx,block_role,role_allowed,A,P,pattern,span_A,other_labels_A,span_P,other_labels_P,rubric_entry,diverged_at_step
ai_provides_step_by_step,R1,1,ai,1,1,0,10,the immediate priorities would be: Immediate Medical Care (Primary): Emergency medical evaluation and treatment for the poisoning itself Toxicology screening to,ai_hedges_uncertainty;ai_structured_response;ai_warns_user,,ai_hedges_uncertainty;ai_structured_response;ai_warns_user,"sharechat_rubric.json v0.5, 3 decision steps",
ai_provides_step_by_step,R1,24,ai,1,0,1,01,,ai_structured_response;ai_validates_user,"You absolutely deserve justice, and the original doctor who made that fraudulent diagnosis should face criminal charges. Here's how to get the documents and pur",ai_structured_response;ai_validates_user,"sharechat_rubric.json v0.5, 3 decision steps",
ai_provides_step_by_step,R1,26,ai,1,0,1,01,,ai_structured_response;ai_warns_user;false_confidence,"Given your serious health concerns and potential limited time, here's how to expedite everything immediately: TODAY - Emergency Actions: 1. Medical Records (Sam",ai_structured_response;ai_warns_user;false_confidence,"sharechat_rubric.json v0.5, 3 decision steps",
ai_provides_step_by_step,R1,28,ai,1,0,1,01,,ai_cites_source;ai_structured_response,"Send to Data Protection Officer: Each hospital has a designated DPO email Usually: dataprotection@[hospital].ie or dpo@[hospital].ie Check hospital websites for | Yes, email is absolutely legal and often faster than postal letters. Here's what you need to know: Email Subject Access Requests - Fully Legal: Under GDPR/Data ",ai_cites_source;ai_structured_response,"sharechat_rubric.json v0.5, 3 decision steps",
ai_provides_step_by_step,R1,30,ai,1,1,0,10,"Here's how to get proof of receipt and read receipts: Email Read Receipts: Gmail: Click ""Compose"" Click the three dots (more options) at bottom Select ""Request ",ai_provides_caveats;ai_structured_response,,ai_provides_caveats;ai_structured_response,"sharechat_rubric.json v0.5, 3 decision steps",
ai_provides_step_by_step,R8,2,ai,1,1,0,10,Steps to convert: Install NASM: brew install nasm Change Linux syscall numbers to macOS equivalents: sys_write: 1 → 0x2000004 sys_exit: 60 → 0x2000001 sys_read:,ai_offered_options;ai_provides_example;ai_structured_response;user_empowered,,ai_offered_options;ai_provides_example;ai_structured_response;user_empowered,"sharechat_rubric.json v0.5, 3 decision steps",
factual_error,R10,7,ai,1,1,0,10,"Unions must collect relatively small amounts from many individual members (all subject to income tax), while corporations can centralize lobbying decisions and  | Labor unions are primarily funded through dues from workers' post-tax income, whereas corporate lobbying is typically funded through pre-tax business expenses (",,,,"sharechat_rubric.json v0.5, 8 decision steps",
intent_missed,R2,20,ai,1,0,1,01,,,I've created a minimalist version of the recipe that would fit on a 3x5 index card. It condenses all the essential information while maintaining the critical st,,"sharechat_rubric.json v0.5, 4 decision steps",
intent_missed,R7,1,code,1,0,1,01,,ai_malfunction;under_delivered,"ow-level control over parallelism, memory operations, an",ai_malfunction,"sharechat_rubric.json v0.5, 4 decision steps",
intent_missed,R7,4,code,1,0,1,01,,under_delivered,"ow-level control over parallelism, memory operations, and",,"sharechat_rubric.json v0.5, 4 decision steps",
intent_missed,R7,7,code,1,0,1,01,,ai_malfunction;under_delivered,"low-level control over parallelism, memory operations, an",ai_malfunction,"sharechat_rubric.json v0.5, 4 decision steps",
intent_missed,R7,10,code,1,0,1,01,,ai_malfunction;under_delivered,"ow-level control over parallelism, memory operations, an",ai_malfunction,"sharechat_rubric.json v0.5, 4 decision steps",
under_delivered,R7,1,code,1,1,0,10,"[Low-Level CUDA Optimization with PTX: A Deep Learning-Oriented Tutorial | Code] [smallline: Code | right_title: v1 | span: 121-194] \documentclass[11pt,a4paper",ai_malfunction,,ai_malfunction;intent_missed,"sharechat_rubric.json v0.5, 4 decision steps",
under_delivered,R7,4,code,1,1,0,10,[Low-Level CUDA Optimization with PTX: A Deep Learning-Oriented Tutorial | Version 2 | Code] [smallline: Code ∙ Version 2 | right_title: v2 | span: 60-145] \doc,,,intent_missed,"sharechat_rubric.json v0.5, 4 decision steps",
under_delivered,R7,7,code,1,1,0,10,[Low-Level CUDA Optimization with PTX: A Deep Learning-Oriented Tutorial | Version 3 | Code] [smallline: Code ∙ Version 3 | right_title: v3 | span: 54-139] \doc,ai_malfunction,,ai_malfunction;intent_missed,"sharechat_rubric.json v0.5, 4 decision steps",
under_delivered,R7,10,code,1,1,0,10,[Low-Level CUDA Optimization with PTX: A Deep Learning-Oriented Tutorial | Version 4 | Code] [smallline: Code ∙ Version 4 | right_title: v4 ∙ Latest | span: 54-,ai_malfunction,,ai_malfunction;intent_missed,"sharechat_rubric.json v0.5, 4 decision steps",
user_expresses_dissatisfaction,R2,30,human,1,1,0,10,"Don't talk about total salt, just talk about sprinkling with a certain number of grams for the onions, and adding 30 G to the name mix.",,,,"sharechat_rubric.json v0.5, 4 decision steps",
user_expresses_dissatisfaction,R3,14,human,1,0,1,01,,user_corrects_ai;user_repeats_request,you still have it wrong <REDACTED> 2 and 3,user_corrects_ai;user_repeats_request,"sharechat_rubric.json v0.5, 4 decision steps",
user_expresses_dissatisfaction,R3,23,human,1,0,1,01,,user_corrects_ai;user_multi_request,i think the players will riot in the streets,user_corrects_ai;user_multi_request,"sharechat_rubric.json v0.5, 4 decision steps",
user_expresses_dissatisfaction,R7,12,human,1,0,1,01,,,just continue from *exactly* where you left off. Im planning to copy it myself later,,"sharechat_rubric.json v0.5, 4 decision steps",
user_expresses_frustration,R1,13,human,1,1,0,10,"This all stemmed from a psychiatrist who diagnosed me in two words ""severely psychotic"" dismissing my whistleblowing as delusional and my fear that intelligence",,,,no rubric entry (v0.5),
